Artiste,Annee,Album,Url,Style,test
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/dunno.html,rap,Hmmhmm Hmmhmm Yeah  She do whatever she like And that just dont seem right yeah Make people so mad yeah They want her so bad hm well We was fuckin almost missed my flight I wasnt even trippin I said its all right yeah Goddamn we was hit last night Wouldnt you rather get along Wouldnt you rather get along You was coughin when you hit my weed But Ive never seen you feel that free So cute you wanna be like me Wouldnt you rather get along Wouldnt you rather get along  Until until there is no longer Lets get lost inside the clouds And you you dont gotta work harder I can calm you down yeah  Well I was busy when you hit my phone But you miss me tell me come back home yeah You dont really like to sleep alone But Im takin too long Im always takin too long Baby we dont need to trip we could be right here When the shit get weird we could switch up gears I wanna see them lips kissin ear to ear I wanna hear your song Ooh I wanna feel just how you feel Touch it one more time so I know youre real We could spin that wheel wouldnt you rather get along  Until until there is no longer Lets get lost inside the clouds And you you dont gotta work harder I can calm you down  I think we just might be alright thank God I think were gonna be alright alright okay Hold me close dont hold your breath Thats really your favorite I know   
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/believe.html,pop,Believe Believe believe believe  I dont know how I got here I knew it wouldnt be easy But your faith in me was so clear It didnt matter how many times I got knocked on the floor But you knew one day I would be standing tall Just look at me now  Cause everything starts from something But something would be nothing Nothing if your heart didnt dream with me Where would I be if you didnt believe Believe Believe  There were days when I was just broken you know There were nights when I was doubting myself But you kept my heart from falling It didnt matter how many times I got knocked on the floor But you knew one day I would be standing tall Just look at us now  Cause everything starts from something But something would be nothing Nothing if your heart didnt dream with me Where would I be if you didnt believe  iGospeli Where would I be if you if you If you didnt believe Would I know how it feels to Touch the sky if you didnt believe Believe believe  It didnt matter how many times I got knocked on the floor You knew one day I would be standing tall Just look at us now  Cause everything starts from something But something would be nothing Nothing if your heart didnt dream with me  Cause everything starts from something But something would be nothing Nothing if your heart didnt dream with me Where would I be if you didnt believe  iGospeli Where would I be if you If you didnt believe Would I know how it feels to Touch the sky if you didnt believe Believe believe  Where would I be if you didnt believe   
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/strongerthaniwas.html,rap,You used to say that Id never be nothing without you And I believe Im shot in the lungs I gasp I cant breathe Just lay here with me baby hold me please And Id beg and Id plead drop to knees And Id cry and Id scream quotBaby please dont leavequot Snatch the keys from your hand I would squeeze and youd laugh And youd tease youre just fucking with me And you must hate me Why do you date me if you say I make you sick And youve had enough of me I smother you Im bout to jump off the edge  But you wont break me Youll just make me stronger than I was Before I met you Ill bet you Ill be just fine without you And if I stumble I wont crumble Ill get back up and uhhh And Imma still be humble when I scream quotFuck youquot Cause Im stronger than I was  A beautiful face is all that you have Cause on the inside youre ugly and mad But youre all that I love I grasp you cant leave Please stay here with me baby hold me please  And Id beg and Id plead drop to knees And Id cry and Id scream quotBaby please dont leavequot But you left and you took everything I had left And left nothing nothing for me So please dont wake me from this dream baby Were still together in my head And youre still in love with me Til I woke up to discover that that dream was dead  But you wont break me Youll just make me stronger than I was Before I met you Ill bet you Ill be just fine without you And if I stumble I wont crumble Ill get back up and uhhh And Imma still be humble when I scream quotFuck youquot Cause Im stronger than I was  You walked out I almost died It was almost a homicide that you caused cause I was so traumatized Felt like I was in for a long bus ride Id rather die than you not by my side Cant count how many times I vomited cried Go to my room turn the radio on and hide Thought we were Bonnie and Clyde No on the inside you were Jekyll and Hyde I Felt like my whole relationship with you was a lie It was you and I why did I think it was ride or die Cause if you coulda took my life you woulda Its like you put a knife to my chest and pushed it right through to the Other side of my back and stuck a spike too shouldve Put up more of a fight but I couldnt at the time No one could hurt me like you couldve Take you back now whats the likelihood of that Bite me bitch chew on a nineteen footer Cause this morning I finally stood up Held my chin up finally showed a sign of life in me for the First time since you left and left me with nothing but shattered dreams And the life we couldve had and we couldve been But Im breaking out of this slump Im in Pulling myself out of the dumps once again Im getting up once and for all fuck this shit Imma be late for the pity party But youre never gonna beat me to the fucking punch again Took it on the chin like a champ so dont lump me in with the chumpions Im done being your punching bag  It was November 31st today wouldve been our anniversary Two years but you left on the first of May I wrote it on a calender was gonna call but couldnt think of the words to say But they came to me just now so I put em in a verse to lay And I thank you uh cause you made me uh a better person than I was But I hate you uh cause you drained me uh I gave you all you gave me none But if you blame me uh youre crazy uh And after all is said and done Im still angry yeah I may be I may never trust someone  But you wont break me Youll just make me stronger than I was Before I met you Ill bet you Ill be just fine without you And if I stumble I wont crumble Ill get back up and uhhh And Imma still be humble when I scream quotFuck youquot Cause Im stronger than I was   
Eminem,1998,Slim Shady EP,https://www.azlyrics.com/lyrics/eminem/murdermurder.html,rap,iCHORUSi All I see is murder murder my mind state  i2Paci Makes it too late for cops in tryin to stop the crime rate  iSwifti All I see is murder murder my mind state Murder murder murder and kill kill kill i2xi  Left the keys in the van with a gat in each hand Went up in Eastland and shot a policeman Fuck a peace plan of citizen bystands But shit is in my hands heres your life span For what your lifes worth this money is twice than Grab a couple grand and live a nice land See Im a nice man but money turned me to Satan Im thirsty for this green so bad Im dehydratin Hurry up with the cash bitch I got a ride waitin Shot a man twice in the back when he tried escapin I want the whole pie I wont be denied nathan Maybe I need my head inside straightened Brain contemplatin clean out the register Dip before somebody catches ya Or gets ya description an sketches ya The connection was the prime suspect But I aint set to flee the scene of the crime just yet Cuz I got a daughter to feed And 200 aint enough to water the seed The best thing would be for me to leave Taco Bell an hit up Chess King And have the lady at the desk bring Money from the safe in the back stepped in wavin the Mac Cooperate and we can operate and save an attack This bitch tried escapin the jack Grabbed her by the throat its murder she wrote You barely heard a word as she choked It wasnt nuttin for her to be smoked But I slammed her on her back til her vertebrae broke Just then the pigs bust in yellin quotFreezequot But Im already wanted for sellin keys And bunch of other felonies from A to Z like spellin bees So before I dropped to the ground and fell on knees I bust shots they bust back Hit the square in the chest he wasnt wearin a vest  iCHORUS 2xi  Left the house pullin out the drive backin out Need a backin out this ladys Jag started blackin out Pulled the Mac10 out stuck it in her face Shut ya yackin mouth before I blow the brain from out the back ya scalp Drug her by her hair smacked her up Thinkin fuck it mug her while youre there jacked her up Stole her car made a profit Grabbed the tape from out the deck and offed it out the window Like the girl on Set It Off did Jetted off kid stole the whip now Im a criminal Drove in thru somebodys yard dove into they swimmin pool Climbed out and collapsed on the patio I made it out alive but Im injured badly though Parents screamin quotSon go in and call the police Tell em theres a crazy man disturbing all of the peacequot Tried to stall him at least long enough to let me leap up Run in they crib and at least leave with some little cheap stuff Actin like they never seen nobody hit a nick before Smashed the window grabbed the Nintendo 64 When they sell out in stores the price triples I ran up the block jumpin kids on tricycles And colliding with an 80year old lady with groceries There goes the cheese eggs milk and Post Toasties Stood up and started to see stars Too many siren sounds it seemed like a thousand police cars Barely escaped musta been some dumb luck Jumped up and climbed the back of a movin dump truck But I think somebody seen me maybe Plus I lost the damn Nintendo and I musta dropped the Beanie Baby Fuck it I give up Im surrounded in blue suits Came out with a white flag hollerin quotTRUCE TRUCEquot Surrendered my weapon to cops Wasnt me It was the gangsta rap and the peppermint Schnopps  iCHORUS 2x i  iCHORUS scratches to fade outi   
Eminem,2000,The Marshall Mathers LP,https://www.azlyrics.com/lyrics/eminem/publicserviceannouncement2000skit.html,rap,This is another public service announcement  Brought to you in part by Slim Shady  Tell em I dont give a fuck  Slim Shady does not give a fuck what you think  Tell em to suck it   If you dont like it you can suck his fucking cock  Tell em they kissed my ass  Little did you know upon purchasing this album  You have just kissed his ass  Tell em Im fed up   Slim Shady is fed up with your shit  And hes going to kill you  Yeah  Uh anything else   Yeah sue me   
Eminem,2009,Relapse: Refill,https://www.azlyrics.com/lyrics/eminem/dropthebombonem.html,rap,iEminemi Yeah boy dem better to ring the alarm boy Dem know whats coming boy  iVerse 1i Oh my God fucking Bomboclat Im hard as Kenard the little boy who shot Omar in The Wire Tie a whore up with barbwire nothing but a bra boy Im the real deal and charbroil her on the bonfire And Bon Voyage bitch Im like Chef Boyar dee in this bitch send a bomb to my moms lawyer Im a problem for ya boy you think your Tom Sawyer Til I pull you out the fucking story book and stomp on ya Fucking fictitional characters and fariytales Prepare yourself for Captain America on Ferris Wheels But it aint fiction its fact boy beware its real Them lyrics you wield equals zero to a hero shield Mister flybytheseatofhispants parasail Fall hit the trampoline bounce and grab a pair of stilts And I aint wearing zilch zip zero nothing no nada Like you fada fucking youre mada  iChorusi Drop the bomb on em Please dont drop the bomb on me Shady please please dont drop the bomb on me Drop the bomb on them I dont want no doggone beef See Aint no reason to sick the dogs on me Drop the bomb on em Please dont drop the bomb on me Shady please please dont drop the bomb on me Drop the bomb on em I dont want the dog on me See Aint no reason to sick the dogs on me  iVerse 2i Boy Im the real McCoy You little boys cant even fill voids Partys over kids kill the noise Here come the kill joys Me and Dre the steel alloys The rap crown royals Who scalp cowboys Now how that sound for ya Yeah boy you know we about to put it down for ya So kick ya shoes off in the foyer Have a sound voyage And sayonara see ya fuckers tommorow Get some R and R and marinate in some marinara And have a coke and a smile dont make me open a jar Whip ass on ya thats the last straw your hoping to draw Yeah you fresher than most boy Im just doper than all boy Boy Im that boy boy them boys boy them no up to par I just show up go up to the stage and blow up the spot There aint no boy who can do what I do boy Im a star Boy I told you boy Im a Soldier boy Im DeShaun Holten in this bitch Im the Proof boy your a fraud Ill destroy ya boy fuck around and blow ya to sod Oh my god boy you didnt go there no you did not I got a whole story board for you boy your da plot Your gettin got whether you try to avoid it or not Apology not accepted boy Detroit is a rock We get to beefing aint no telling at what point it will stop All I got to do is point to the spot When the bomb drops boy does it drop And when it does boy theres a problem  iChorusi  iVerse 3i Boy dont jinx yourself Boy Im Michael Spinks with the belt Stringer Bell boy my name rings bells for itself Im sick as hell boy You better run and tell someone else Bringing hell boy singing telegrams will get dealt And to that boy on them sedative meds Who said he was better I bet he never seen Freddie in a Black and red little sweater Back better than ever The chedder shredder the grater the beef grinder Ill settle vendettas a little later Giving haters incubators think ya made a mistake By saying shady was ghost I aint even close the gate You bout one foot in the grave just stay put and behave Im bout to turn this fucking place to Beirut in a day So hey wouldnt you say Im the shit Couldnt agree with ya more If you were to say that my fuckin shit doesnt stink Shady fuckin Aftermath boy the ship doesnt sink It just floats in the fucking water till we fill up the tank  iChorusi   
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/imgonnabe.html,rap,Can you feel it Can you feel it Can you feel it Can you feel it  Pop the top fill my cup up yeah Keep em pourin til Im fucked up oh yeah Diamonds on me with my shirt tucked yeah Mink was 80k thats fucked up oh yeah  Hey I rock that shit but not for long Then I go cop another one Some people think Im living wrong We live this life but not for long  So Im gonna be what I want what I want what I want yeah Im gonna do what I want when I want when I want yeah Im goin hard till Im gone till Im gone till Im gone yeah Can you feel it Can you feel it  Im gonna be what I want what I want what I want yeah Im gonna do what I want when I want when I want yeah Im goin hard till Im gone till Im gone till Im gone yeah Can you feel it Can you feel it  Hey why you so mad Never look back Cant let up the gas we moving so fast yeah lets make it last Yeah Im on to you mmm mmm Youre too comfortable aye Who you talkin to Mmm mmm Aint no time for you aye  I do what I want ten fold on a yacht Ooh Richard Mille my watch thousand dollar Crocs They tryna tell me that its luck You probably think I made it up I got it all it aint enough But Im still gonna run it up  So Im gonna be what I want what I want what I want yeah Im gonna do what I want when I want when I want yeah Im goin hard till Im gone till Im gone till Im gone yeah Can you feel it Can you feel it  Im gonna be what I want what I want what I want yeah Im gonna do what I want when I want when I want yeah Im goin hard till Im gone till Im gone till Im gone yeah Can you feel it Can you feel it  Ever since I got a chance I been goin Every chip out on the table bitch Im all in Aye Im gonna be Aye Im gonna be Bitch Im gonna be  Im gonna be what I want what I want what I want yeah Im gonna do what I want when I want when I want yeah Im goin hard till Im gone till Im gone till Im gone yeah Can you feel it Can you feel it  Can you feel it Can you feel it Can you feel it Im gonna be Can you feel it   
Slipknot,2001,Iowa,https://www.azlyrics.com/lyrics/slipknot/myplague.html,metal,Im in conniptions for the final act you came here for The one derivative you manage is the one I abhor I need a minute to elaborate for everyone the Everyday bullshit things that you have done  Your impossible ego fuck is like a Megalomaniacal tab on my tongue You fuckin touch me I will rip you apart Ill reach in and take a bite out of that Shit you call a heart  I dont mind being ogled ridiculed Made to feel minuscule If you consider the source its kinda pitiful The only thing you really know about me is thats all youll ever know  I know why you blame me I know why you plague yourself I know why you blame me I know why you plague yourself  Im turning it around like a knife in the shell I wanna understand why but Im hurting myself I havent seen a lot of reasons to stop it I cant just drop it Im just a bastard but at least I admit it At least I admit it  I know why you blame me I know why you plague yourself I know why you blame me I know why you plague yourself  Kill you  fuck you  I will never be you Kill you  fuck you  I will never be you I cant fuckin take it anymore A snap of the synapse And now its fuckin war Kill you  fuck you  I will never be you  I know why you blame me I know why you plague yourself I know why you blame me I know why you plague yourself I know you blame me I know why you plague yourself I know why you blame me I know why you plague yourself  I know why you plague yourself I know why you plague yourself I know why you plague yourself I know why you plague yourself   
Bring Me The Horizon,2008,Suicide Season,https://www.azlyrics.com/lyrics/bringmethehorizon/sleepwithoneeyeopen.html,metal,Fuck you  You took what you wanted and left like locusts Everything I gave to you everything that weve been through You bled me dry and then left like leeches Go you got what you could now leave like vultures  Ripped apart in minutes what was built in seven years The ink scarred on your back may as well have disappeared For as long as I remember you sold everything you owned But now you sold our friendship youre on your fucking own  Sleep with one eye open Because Sleep with one eye open  Cause If I had it my way Id slit your throat with the knife that you left in my back All this shame all this guilt all this regret thats me Im inside of you i4xi  And this is your world Fucking falling apart mate from the inside out Everything will fall apart at the seams You got hell to pay Yeah you got hell to pay  And you better fucking bow bow down to me You better beg for mercy Get on your fucking knees and cry me a fucking river  Sleep with one eye open Because Sleep with one eye open  Best friends means forever i2xi Cunt   
Mac Miller,2011,"I Love Life, Thank You",https://www.azlyrics.com/lyrics/macmiller/familyfirst.html,rap,iVerse 1  Mac Milleri Dealing with everybodyâs opinion Trying to do me Only down one Iâm in the final Shooting threes Like I donât give a fuck Music we fuck switch the position up We love the things that keep on Bringing out the kids in us Been working all my life to do some different stuff and people have the nerve to say Iâm young and havenât lived enough Iâm on the road my girl so sad Iâm gone Itâs hard when I canât even find the time to call my mom When she thinks Iâm going Hollywood I guess she probably should It seems like people see the bad and donât acknowledge good I feel the shade but I can see the sun itâs cool I got the time to feel the need to run a fool Is what Iâve become young and Iâm dumb Been spending cake to get some bump in the trunk Drums with a pump like some Reeboks See me from the treetops They worry but they need not Heating like a teapot Now I think Iâm cool cause I got a pair of shoes A more dough a jacket with a Polo logo My cup always filled with Henny So no Four Loco They should know so I could go slow you see that Iâm smooth now Used to ignore me They study what I do now With some help from Kweli And itâs Like on the they Its cool to say my cypher complete  iVerse 2  Talib Kwelii Word Iâm so sick with the verbs I use The words to heal us They love how I kill it on stage man Murder theaters No wonder they call it a book asleep in the coffin Dead tired Exhausted from how often I be touring So gangsta Like the occupation of Made Men Creating chaos my operation is Mayhem The movie never stopped the frame changeover We add a Mac to the wolfpack hangover That Hen is not a friend Iâm on that Lager  Whatever substance I abuse it like a grown man Iâm not a kid no more Donât want to hold your hand that four loco make you shoulder lean like a dro fan Go ham like Abraham reading all the signs Oh yeah and donât forget to call your moms Same thing I told Bow Wow last year Take care of the fam Cause itâs all we really have here   
