Artiste,Annee,Album,Url,Style,test
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/soitgoes.html,rap,Yeah yeah yeah Um What Whats up Yeah well  You could have the world in the palm of your hand You still might drop it And everybody wanna reach inside your pockets I tell em quotred light stop itquot Shit that give me more headaches than alcoholics  There was nothin in my wallet just a lot o dreamin I built a crib on top o the Promised Land well call it even Hm I bring more flavor than all the seasons Winter spring summer fall the grass is always greener til I cut it all Please leave me to my studies I give you no applause My hands been countin money and its hard to be the boss But somebody gotta do it it gets so exhausting Often with the bullshit but baby I been through it Enough for the both of us So come over later and we wont let no one close to us We could be posted up Yeah  Okay well you could have the world in the palm of your hand You still might drop it And everybody wanna reach inside your pockets So it goes Its like in every conversation we the topic This narcissism more like narcotics So it goes  Well everybody gather round Im still standing sit down Whoaoh And I know I been out and I know I been out But now Im back in town but now Im back in town so I Show you the ropes So it goes so it goes so it goes Da da da da da da da da Da da da da da da da So it goes so it goes Da da da da da da da da Da da da da da da da da So it goes  Well this is a special delivery comin to you live with the Endless artillery always down to ride My eyes on the enterprise Nine lives never die fuck a heaven Im still gettin high Never mind did I mention Im fine Cause her pussy gettin wetter when the weather dry Clementine peelin off and everyone get left behind Im only 57 cept Im feelin like Im 75quot Damn it cross planets interstellar Never land not a Jackson packed with action So whats happening my man No relaxing kicking back this aint exactly in the plan I cant get no satisfaction goddamn They sayin I been gone too long I could just tell em fuck you but that come on too strong My god it go on and on Just like a circle I go back to where Im from  Well everybody gather around Im still standing sit down Whoaoh And I know been out and I know I been out But now Im back in town but now Im back in town so I Show you the ropes So it goes so it goes so it goes Da da da da da da da da Da da da da da da da So it goes so it goes Da da da da da da da da Da da da da da da da da So it goes   
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/justmyimagination.html,rap,Wake up in my king size bed Girls all around me Eyes all red The true life of a player kid Its nice to wake up to a naked bitch Got the finest clothes diamond toes Goin to sleep on a pile of dough Liquers phantoms yards mansions Piff in the cannons House in the hamptons Livin it up Big parties every night This is the life of the paradise My main man twist done toldem right I makeem celebrities over night Grammys oscars starin in movies Gotta pool house 4 cars and jacuzzis On my way up gettin my cake up Wake up  It was just my imagination Runnin away with me It was just my imagination Runnin away  I got groupies who got groupies An I buy a new car every two weeks My chain got diamonds in it And my whip got a diamond finish Got the mtv jjjam of the week Sign autographs when I stand in the street Plus I been all over BET Columbia records and DTP Both want me to sign to their label Plus I got my own channel on cable Always fresh courtside best view Kanye west and beats from the neptunes Stackin cream magazines Kids dressed like me on halloween They lovin my mixtapes Money like bill gates Im on top and it feels great  It was just my imagination Runnin away with me It was just my imagination Runnin away   
Eminem,2000,The Marshall Mathers LP,https://www.azlyrics.com/lyrics/eminem/imback.html,rap,iChorus x4i Thats why they call me Slim Shady Im back Im back Im back Im back Slim Shady  I murder a rhyme one word at a time You never heard of a mind as perverted as mine You better get rid of that 9 it aint gonna help What goods it gonna do against a man that strangles himself Im waitin for Hell like hell shit Im anxious as hell Manson youre safe in that cell be thankful its jail I used to be my mommys little angel at twelve Thirteen I was puttin shells in a gauge on a shelf I used to get punked and bullied on my block Til I cut a kittens head off and stuck it in this kids mailbox I used to give a fuck now I could give a fuck less What do I think of success It sucks too much press Im stressed too much cess depressed Too upset its just too much mess I guess I must just blew up quick yes Grew up quick no was raised right Whatever you say is wrong whatever I says right You think of my name now whenever you say hi Became a commodity because Im WHI TE cause MTV was so friendly to me Cant wait til Kim sees me Now is it worth it Look at my life how is it perfect Read my lips bitch What my mouth isnt workin You hear this finger Oh its upside down Here let me turn this motherfucker up right now  iChorus x4i Thats why they call me Slim Shady Im back Im back Im back Im back Slim Shady  I take each individual degenerates head and reach into it Just to see if hes influenced by me if he listens to music And if he feeds into this shit hes an innocent victim And becomes a puppet on the string of my tennis shoe iVocal scratchesi My name is Slim Shady I been crazy way before radio didnt play me The sensational ivocal scratch quotBack is the incrediblequoti With Ken Kaniff who just finds the men edible Its Ken Kaniff on the Internet Tryin to lure your kids with him into bed Its a sick world we live in these days quotSlim for petes sakes put down Christopher Reeves legsquot Geez you guys are so sensitive quotSlim its a touchy subject try and just dont mention itquot Mind with no sense in it fried schizophrenic Whose eyes get so squinted Im blind from smoke in em with my windows tinted With nine limos rented doin lines of coke in em With a bunch of guys hoppin out all high and indo scented And thats where I get my name from thats why they call me  iChorus x4i Thats why they call me Slim Shady Im back Im back Im back Im back Slim Shady  I take seven kids from Columbine Stand em all in line add an AK47 a revolver a 9 A MAC11 and it oughta solve the problem of mine And thats a whole school of bullies shot up all at one time Cause Immmm Shady they call me as crazy As the world was over this whole Y2K thing And by the way NSync why do they sing Am I the only one who realizes they stink Should I dye my hair pink and care what yall think Lip sync and buy a bigger size of earrings Its why I tend to block out when I hear things Cause all these fans screamin is makin my ears ring AHH So I just throw up a middle finger and let it linger Longer than the rumor that I was stickin it to Christina Cause if I ever stuck it to any singer in showbiz Itd be Jennifer Lopez  and Puffy you know this Im sorry Puff but I dont give a fuck If this chick was my own mother Id still fuck her with no rubber and cum inside her And have a son and a new brother at the same time And just say that it aint mine  whats my name  iChorus x4i Thats why they call me Slim Shady Im back Im back Im back Im back Slim Shady  iVocal scratchingi Guess whos bback back Guegueguess whos back Hi mom iScratchi Guess whos back iScratchi Gue iscratchi guess whos back D12 iscratchi Guess whos back Gue gueguegue guess whos back Dr Dre iscratchi Guess whos back Back back iscratchi back iScratchi Slim Shady 2001 Im blew out from this blunt sighs fuck   
Mac Miller,2013,Delusional Thomas,https://www.azlyrics.com/lyrics/macmiller/thejesuits.html,rap,iVerse 1i From yeah from from from from Right out the backyard rhymes out the crack jarred The facts are that Mac brought the cash for the caviar Laugh hard staying out the way of bad karma And black tar covered demons when they have drama You latch onto hope but it aint working out This garden snake you knew done grew into a serpent now And my mind is perverted foul wow My time youve got to earn it now Alright dance circles around the lava And bitches coming over just to twerk around the casa Yeah lemme see that ass bitch haha Yeah as the Virgin Mary get defloured Arouse her and let her put her mouth in my trousers Woke up made a couple million fore I showered Spent an hour with Jack Bauer And the kids from Rocket Power watching television Sometimes the truth is better when its fiction Its never written never find a bed in prison Dealing with addictions When I beat it then its switching to something else Shit Im only running from myself But Im running fast and Im tired  iVerse 2 Dahi Fucking sleeping man Give me some fucking orange juice Some peyote in that shit My whole fucking life is a science experiment buggin Terrorist rhetoric instead make the Devil flinch Paint his head with gin the roof is scabbin Finna peel off skys teal hand rolling in  bit harder to look at put a home invasion Throw the earnings in my bookbag Learned about that Xanax and Aint nobody really ever taught me how to cook crack but I got about half a riteaid in my bookbag Bitch Im always high thats why I look sad Black bag full of kush burn the same bush Moses had a conversation with bitch Croatian dick We wanna train you finna thank the bitch The new wage Johnny Blaze and shit I got the homies in your neighborhood Knocking like these niggas lost a dog Momma looking for her boy she better call the morgue Im a ball hog I tell my niggas I aint finna pass it You aint gonna dunk smoking the Hawaiian skunk Elephant tusk necklace just to provide the stunt Wear a Waldo outfit you were to find me once I hit the ocean floor inside a slut Disintegrated to the finest dust Im out nigga Like that   
DREAMERS,2016,This Album Does Not Exist,https://www.azlyrics.com/lyrics/dreamers/wolvesyougotme.html,Rock/Alternatif,All the other ones never made it this far They all were dust when they saw what you are Still I chase you down to the place you hide Will I make it out make it out alive  You got me brainwashed you got me so lost You got me fucked up like you You got me drugged up you got me undone Falling in love like you do And if you lie down with wolves You learn to howl You got me brainwashed you got me so lost You got me fucked up like you  Oh dear I pray So I wait by the moon Knowing your stray silhouette hunts you too Still I chase you down couldnt keep away Fevers coming now I want the high again  You got me brainwashed you got me so lost You got me fucked up like you You got me drugged up you got me undone Falling in love like you do And if you lie down with wolves You learn to howl You got me brainwashed you got me so lost You got me fucked up like you  Ooh oohooh ooh Oohooh oohooh ooh Ooh oohooh ooh Oohooh oohooh ooh Ooh oohooh ooh Oohooh oohooh ooh Ooh oohooh ooh Oohooh oohooh ooh  You got me brainwashed you got me so lost You got me fucked up like you You got me drugged up you got me undone Falling in love like you do And if you lie down with wolves You learn to howl You got me brainwashed you got me so lost You got me fucked up like you  You got me brainwashed you got me so lost You got me fucked up like you You got me drugged up you got me undone Falling in love like you do And if you lie down with wolves You learn to howl You got me brainwashed you got me so lost You got me fucked up like you   
Mac Miller,2010,K.I.D.S.,https://www.azlyrics.com/lyrics/macmiller/lalala.html,rap,Im going in after hitting this ganja Out to dinner with the hommies grab a table at the comma Im a New millennium Sinatra Cop a marijuana from your neighborhood rosters Chiefin Feastin King of the new school Im speaking in tongues Try translating voodo Hold up Let me start again Undefeated shirt Levis and a Mr Rogers cardigan Is a hella of a feeling being this fresh Bitch seem to sit upon my lips call it blistex Peddling this medical The presence of a general Magazine centerfolds They all up on my genitals Got the game in the palm of my hands He snitching wilding out better talk to your man He bitching cause I aint got a lot time for this weirdos Talking shit all up in my ear lobes I just live life Tryin do it right Everyone that hear me say the boy super nice Put a bitch up on the flight She going be here by the night Get some afternoon delight Only eat it if its ripe Call me Stanely steamer Ill be giving her the pipe When Im out of town she wanna see me so we skype She might get obsessed and keep calling 30 000 feet tom petty free falling Just laying back letting gravity take its course I wanna tell all of my haters the we made it boy From basement studios to some official shit From stressed out all the time to I dont give a shit Used to dream about it Boy now Im living it 412 is the most dope syndicate Had a normal life but now Im sick of it Try and spend money just to spend it is ridiculous Young and so mischievous   
Bring Me The Horizon,2004,This Is What The Edge Of Your Seat Was Made For,https://www.azlyrics.com/lyrics/bringmethehorizon/rawwwrr.html,metal,Yeah Rawwwwrr  Take it back what you suffer me Take it back what you suffer me baby Take it back what you suffer me Take it back what you suffer me baby  Taking back what you stole from me Taking back what you stole from me baby  Taking back what you stole Taking back what you stole from me  So  Wash away these memories silent and proud Wash away these memories silent and proud  Blood wont confirm on these curtains Your blood my hands Your blood my fucking hands  Run for the hills Your strength from the dead afar Run for the hills Your strength from luck cut this off  And if you think youre alive Then youre better off fucking dead  Right  This will be another moment where we put Salt in my eyes in wake I wont Salt in my eyes In hope I wont see your smile I will not see her  This will be over my dead body This will be over my dead body This will be over my dead body This will be over my dead body This will be over my dead body This will be over my dead body   
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/travellinman09.html,rap,Memories dont live like people do They always remember you Whether things are good or bad its just the memories Memories dont live like people do baby dont forget me Im a travelling man moving through places Take some time Got a lot of things I got to do But lord willing Im comming back to you baby boo Im a travelling man moving through places Take some time Got a lot of things I got to do But god willing Im comming back to you baby boo Im leaving on a jet plane and dont know when Ill be back again Kiss me and smile for me Tell me that youll wait for me Hold me like youll never let me go   
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/tragicmagic.html,metal,Im back ha ha  So lets rewind back to the time 2005 I almost died I overdosed I did not know Did I provoke this evil ghost Disaster  Magically I turned tragedy Into melodies Over catchy beats It comes so naturally So smooth and casually Thats why they call me king Of the music scene  Lalalalala  I dug a hole 10 miles wide So I could throw all of you inside Youre such a dumb fuck You need to shut up You bring a picture of me every time you get your haircut Impostor  Magically I turned tragedy Into melodies Over catchy beats It comes so naturally So smooth and casually Thats why they call me king Of the music scene  Lalalalala  Oh Bruised and broken My eyes are open I wont lose focus My eyes are open Can you see in the distance Can you see the resistance We will march rise against them From the start rise against them  Magically I turned tragedy Into melodies Over catchy beats Lalalalala It comes so naturally So smooth and casually Thats why they call me king Of the music scene Lalalalala  Magically I turned tragedy Into melodies Over catchy beats Lalalalala It comes so naturally So smooth and casually Thats why they call me king Of the music scene Lalalalala   
Slipknot,2019,We Are Not Your Kind,https://www.azlyrics.com/lyrics/slipknot/alloutlife.html,metal,What a world the horizons Coming like a hellbent killing machine Cant afford to be the goddamn wreckage Burn it all again at a million degrees Calling all the adamant upperlevel Undefeated counterfeit cunts with a reason to fear Throw away all the meaningless shit thats clinging The enemy is here I said stop  Give it to three Im gonna show you how to do it if you know what I mean One by one against give me the name All you shiny pretty neverwills ruined the game You hold all the keys so the chains shouldnt hold you I know you heard me I fucking told you  Old does not mean dead new does not mean best No hard feelings Im tired of being right about everything Ive said Yours does not mean mine kill does not mean die We are not your kind No excuses I challenge you to all out fucking life  Drop that shit and put it on a pedestal Children are afraid of the gods Raise your hands and show me whats impossible That makes us even never tell me the odds What a bore Im getting stuck in a metaphor I dont wanna go to sleep I need a breakdown quick in negotiations Get it all together and remember to seethe stop  Give it to three Im gonna show you how to do it if you know what I mean Drive by violence more of the same I can see where youre going and Im really ashamed Do you think when you act or just act like youre thinking I gotta know now you better tell me  Old does not mean dead new does not mean best No hard feelings Im tired of being right about everything Ive said Yours does not mean mine kill does not mean die We are not your kind I challenge you to all out life  We are gathered here today to get it right Repeat after me quotI will not celebrate mediocrity I will not worship empty shells I will not listen to worthless noises I will not subject myself to selected predictable choices My time my attention My quality should not be bought and sold For conveniences sake everquot  We are not your kind We are not your kind We are not your kind We are not your kind We are not your kind We are not your kind We are not your kind We are not your kind  Old does not mean dead new does not mean best No hard feelings Im tired of being right about everything Ive said Yours does not mean mine kill does not mean die Pay attention its gonna be a while til I really feel alright Old does not mean dead new does not mean best No hard feelings Im tired of being right about everything Ive said Yours does not mean mine kill does not mean die We are not your kind No excuses I challenge you to all out fucking life  All out life yeah I challenge you to all out fucking life yeah Live live live life   
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/curtainscloseskit.html,rap,iKen Kaniffi Is this thing on Whered everybody go Guess whos back Back againâ Ken is back tell someâmen Rub my back Rub my back Rub my back Rub my backâ EhâWaitâHello EhâGoodnight   
Motionless in White,2008,When Love Met Destruction,https://www.azlyrics.com/lyrics/motionlessinwhite/billyin4cneversawitcoming.html,Rock\Alternatif,Oh my god I could barely sit down to write this line And Id give anything to hear your fucking voice again So apathetic and I know you must be dead inside You dont know what real love is  And I will paint the darkness on Everything that reminds me of you And I havent slept in days For I might not wake up And you say that passion kills Bitch oh  And I forgot what this hallow pit in my stomach felt like  And I forgot what this hallow pit in my stomach felt like Now I have become death destroyer of whole worlds Now I have become death destroyer of whole worlds  Now I have become my death Now I have become my death  You are all that I have left And I am lost without you You are all that I have left And I am lost without you Your bloods not worth spilling Your bloods not worth spilling  i2008 Version Onlyi  iWhisperedi Never forgiving therell be no redemptions Im giving up those memories that are closest to heart Youll never ever be able to hurt me ever again One day youll be just a memory now A memory now Forever does not belong to us Never forgiving  Im defeated as I feel like forever Day to day Never forgiving Year to year As I whisper to you right now Never forgiving My heart hits the floor Never forgiving I just regret one thing   
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/lovegame.html,rap,iEminemi Somethings burnin I cant figure out what Out what its either lust or a cloud of dust judgment is clouded must Just be the powder from the power of Love but Im in somethin I dont know how to get outta Left my girl in the house alone is that my soontobespouses moan and the further I walk the louder Pause for a minute to make certain thats what I heard cause after all this is her place So I give her the benefit of the doubt I Think I might be about to busta bust her the thoughts scary yo though and it hurtsbrace Hope it aint quothere we go yoquot cause my head already goes to worstcase scenario though in the first place But you confirmed my low end theory though shouldve known when I made it all the way to third base And that was only the first date couldve made it to home plate But you slid straight for the dome and dove face First quotNo islurpi you dont islurpi underâislurpiâstand islurpi I islurpi dont ihici do islurpi this for anyone everquot Yeah that aint what they all say Ill say you can suck a softball through a straw Used to be my fiancÃe til you sucked on Wayne AndrÃ and Kanye LeBron Akon Jay Lil Jon Raekwon Mae Polow Tha Don Dre Dante Ross James Conway Kwame Guess Im gettin my gGod dang Jigga on eh Cause your name Im beyond sayin But fuck it Im movin on you women are all cray But Ill probably always keep on playin The game of love love love love lalalalala love  She doesnt love me no she dont love me no more She hates my company guess she dont love me no more I tried to get her up out of my head left my bags at the door She screamed she loved me like she never did before And I told her go where you wanna go go do what cha wanna do I dont care And I told her go where you wanna go go do what cha wanna do I dont care I told that bitch  iKendricki Im a sucker for love youre a sucker for dick Suckin dick in your mama tub then your granny walked in Told the stupid nigga to duck under the water he drowned like an abortion they booked you for manslaughter You beat the case and I called ya quotSherane is not available now leave a message at the tone And Kendrick dont forget to buy two pair of those Expensive heels ya little fuckin Ferris Wheel Fuckin spinnin on me Fuck ya think Were gonna get married still Fucking Mary had a little lamb this aint no fairy tale Fairy God mama better tell you how I fuckin feel Like you should fuckin beat it or fuckin eat it while Im on my period Now have a blessed dayquot Bitch you serious Im in the mirror with this look on my face curious Why you aint fuckin with me you cut me deep as a Caesarean You know I want you bad as a Benjamin Im delirious I want you bad as the head shattered on George Zimmerman After the Dillinger hit him diligently and killin im His mouth piece for a Cadillac emblem Thats analogy and metaphor for you I should win a medal for all the ways I adore you This is me talkin cordial yeah I got some home trainin That aint what you like aint it What about if I was as famous As Marshall would you give fellatio in the carpool Cops pull us over they just wanna know if you gargle Singing quotI hope shes good enough Meanwhile youre chasing herquot Chlamydia couldnt even get rid of her pity the fool and pity the fool in me Imma live with the Game of love love love love lalalalala love  She doesnt love me no she dont love me no more She hates my company guess she dont love me no more I tried to get her up out of my head left my bags at the door She screamed she loved me like she never did before And I told her go where you wanna go go do what cha wanna do I dont care And I told her go where you wanna go go do what cha wanna do I dont care I told that bitch  iEminemi So needless to say Im feelin betrayed snatch my house key off her key chain She jumps off WeeBey from the Wires dick now shes chasin me with a cheese grater Here goes that broken record clichÃ its all my fault anyway shes turnin the tables Im a beatbreak She treats my face like Serato she cuts and scratches like a DJ each day is an Instant Replay They say what we display is symptomatic of attack behave Ior back together but forgot today was her BDay She cut me off on the freeway Simple misunderstandin but just as I went to slam on the brakes thats when I realized that she may be crazy as me wait Bitch cut my fuckin brake line stepped on them fuckers eight times still goin 73 thank God theres an exit comin up what the mother FUCKs Wrong with her hit the offramp til I coasted to a goddamn halt hit a fucking tree now here she comes at full speed shes racing at me OK you wanna fuck with me eh Snatch that bitch out her car through the window shes screamin I body slam her on the cement until the concrete gave And created a sink hole buried the stink hoe in it then paid to have the street repaved the fuck Woke up in a dream state In a cold sweat like I got hit with a freeze ray durin a heat wave Guess I eventually caved though cause shes layin next to me in bed Directly aimin a gat at my head Woke up again and jumped up like fuck it Ive had it Im checkin into rehab I confess Im a static addict I guess Thats why Im so clingy every girl Ive ever had either says I got too much baggage or Im too fuckin dramatic man what the fuck is the matter Im just A fuckin romantic I fuckin love you you fuckin bitch Combative possessive in fact last time I was mad at an ex I actually set off a chain reaction of tragic events I said quotHit the roadquot and after she left I sent that bitch a text I said quotBe careful driving Dont read this and have an accidentquot She glanced to look at it and wrecked Too bad thought we had a connect no sense dwelling makes Never been a more compelling case than the model covered in LOreal and Mace Who fell from grace eleven stories for story telling while the whore was yelling rape Til her vocal chords were swelling and her voice was more horser than Tori Spellings face Still they swarm the gates Of my fancy estates to greet Norman Bates with a warm embrace Less youre Andrea Yates dont ask me for a date Dont be late well the sentiments great But wait think theres been a mistake You wanted an intimate date I wanna intimidate I have infinite hate in my blood Its mainly cause of the game of iPhone ringi wait quotDinner at eightquot I have infinite hate in my blood Its mainly cause of the game of love  Love love love Lalalalala love   
